Dataset,Model_Size,Image_Name,LipMIP_Result,LipMIP_Time,LiRPA_Result,LiRPA_Time,Sampling_Time,Sampling_File_Path
MNIST,small,image_0,36.20954000109263,6.964975595474243,47.79147720336914,0.4987454414367676,2.4961087703704834,./MNIST_Models/samples_MNIST_small_image_0.pt
MNIST,medium,image_0,47.41484767302849,250.5605320930481,619.1513061523438,0.1035842895507812,1.390721559524536,./MNIST_Models/samples_MNIST_medium_image_0.pt
MNIST,large,image_0,4781.83189867691,1202.4138085842133,10714.369140625,0.1241135597229003,1.8558580875396729,./MNIST_Models/samples_MNIST_large_image_0.pt
CIFAR,small,image_0,290.1783106247848,1201.798939704895,1433.393310546875,0.082360029220581,3.026062250137329,./CIFAR_Models/samples_CIFAR_small_image_0.pt
CIFAR,medium,image_0,78573.27737192203,1202.5993456840515,80150.1171875,0.1210341453552246,5.737162351608276,./CIFAR_Models/samples_CIFAR_medium_image_0.pt
CIFAR,large,image_0,2377616.918921534,1204.718365192413,2380121.0,0.1957981586456298,3.250006437301636,./CIFAR_Models/samples_CIFAR_large_image_0.pt
TinyImageNet,small,image_0,318.5624377159966,1205.9225804805756,1545.532470703125,0.1819455623626709,7.062609910964966,./TinyImageNet_Models/samples_TinyImageNet_small_image_0.pt
TinyImageNet,medium,image_0,148357.47627760438,1211.0651552677157,151814.234375,0.2695610523223877,3.651476383209229,./TinyImageNet_Models/samples_TinyImageNet_medium_image_0.pt
TinyImageNet,large,image_0,4415719.845196656,1217.4348094463348,4433937.5,0.5045468807220459,5.127312660217285,./TinyImageNet_Models/samples_TinyImageNet_large_image_0.pt
