Dataset,Model_Size,Image_Name,Norm,LipMIP_Result,LipMIP_Time,LiRPA_Result,LiRPA_Time,Eclipse_Result,Eclipse_Time,Sampling_Time,Sampling_File_Path
MNIST,small,image_0,linf,36.20954000109263,6.964975595474243,99.6781768798828,3.249922275543213,,,4.438928604125977,./MNIST_Models/samples_MNIST_small_image_0_linf.pt
MNIST,medium,image_0,linf,47.41484767302849,250.5605320930481,452.5594177246094,1.8119139671325684,,,5.153055429458618,./MNIST_Models/samples_MNIST_medium_image_0_linf.pt
MNIST,large,image_0,linf,4781.83189867691,1202.4138085842133,2431.9287109375,0.7442018985748291,,,4.494559049606323,./MNIST_Models/samples_MNIST_large_image_0_linf.pt
CIFAR,small,image_0,linf,290.1783106247848,1201.798939704895,1822.3834228515625,0.3466737270355224,,,6.96700119972229,./CIFAR_Models/samples_CIFAR_small_image_0_linf.pt
CIFAR,medium,image_0,linf,78573.27737192203,1202.5993456840515,47058.65625,0.8051350116729736,,,15.12448000907898,./CIFAR_Models/samples_CIFAR_medium_image_0_linf.pt
CIFAR,large,image_0,linf,2377616.918921534,1204.718365192413,787505.6875,0.958629846572876,,,16.878185510635376,./CIFAR_Models/samples_CIFAR_large_image_0_linf.pt
TinyImageNet,small,image_0,linf,318.5624377159966,1205.9225804805756,565.7097778320312,0.648216962814331,,,34.62216544151306,./TinyImageNet_Models/samples_TinyImageNet_small_image_0_linf.pt
TinyImageNet,medium,image_0,linf,148357.47627760438,1211.0651552677157,164019.546875,1.0839693546295166,,,40.067893743515015,./TinyImageNet_Models/samples_TinyImageNet_medium_image_0_linf.pt
TinyImageNet,large,image_0,linf,4415719.845196656,1217.4348094463348,1623689.5,3.4263181686401367,,,42.84948754310608,./TinyImageNet_Models/samples_TinyImageNet_large_image_0_linf.pt
MNIST,small,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,2.2871520695315226,0.362938642501831,4.561431407928467,./MNIST_Models/samples_MNIST_small_image_0_l2.pt
MNIST,medium,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,4.416249620390975,0.2099809646606445,4.024402141571045,./MNIST_Models/samples_MNIST_medium_image_0_l2.pt
MNIST,large,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,10.52229711146323,0.7393202781677246,4.28250789642334,./MNIST_Models/samples_MNIST_large_image_0_l2.pt
CIFAR,small,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,13.627423201253794,0.3073666095733642,17.018439769744873,./CIFAR_Models/samples_CIFAR_small_image_0_l2.pt
CIFAR,medium,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,145.26207637473968,0.3922710418701172,13.868786573410034,./CIFAR_Models/samples_CIFAR_medium_image_0_l2.pt
CIFAR,large,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,1184.220014698772,0.9317944049835204,13.75512146949768,./CIFAR_Models/samples_CIFAR_large_image_0_l2.pt
TinyImageNet,small,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,84.72239450813754,8.857514381408691,38.64948272705078,./TinyImageNet_Models/samples_TinyImageNet_small_image_0_l2.pt
TinyImageNet,medium,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,601.2221562974763,9.33222246170044,38.78314161300659,./TinyImageNet_Models/samples_TinyImageNet_medium_image_0_l2.pt
TinyImageNet,large,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,5282.859903307595,10.33353567123413,42.54844665527344,./TinyImageNet_Models/samples_TinyImageNet_large_image_0_l2.pt
