Algorithm,Upper Bound,Lower Bound,Execution Time (s),LipPOT Exit Reason
LipMIP,193.90121069669382,,0.1824352741241455,
auto-LiRPA,553.3421020507812,,0.0729074478149414,
LipPOT,193.90121459960938,193.90121459960938,0.05994153022766113,Initial GPD fit (KS=0.7709) is outside the DKW confidence band (eps=0.3767).
ECLipsE,271.3795888485845,,0.540684700012207,
